Candidate_ID,Age,Gender,Nationality,Education_Level,University_Ranking,Field_of_Study,Years_of_Experience,Technical_Skills_Score,Communication_Score,Interview_Score,Assessment_Test_Score,Internship_Experience,Previous_Company_Tier,Expected_Salary,Willing_to_Relocate,Visa_Status,English_Proficiency,Leadership_Experience,Certifications_Count,Application_Source,Referral_Status,HR_Rating,Manager_Rating,Final_Hiring_Decision
TLB0405,20,Female,American,Bachelor's,404,Finance,5,48.6,54.7,82.8,61.7,Yes,Tier 2,7900,No,Citizen,Native,Yes,6,Company Website,Not Referred,3.6,1.6,Hired
TLB0406,30,Female,British,Master's,317,Finance,2,76.0,69.5,58.5,80.9,Yes,Startup,11500,Yes,Work Visa,Native,No,6,Job Portal,Not Referred,3.3,3.8,Hired
TLB0407,29,Male,Pakistani,PhD,244,Engineering,6,75.8,67.0,71.7,69.0,No,Tier 2,15600,Yes,Work Visa,Fluent,No,3,LinkedIn,Not Referred,4.1,4.1,Rejected
TLB0408,30,Female,Indian,Bachelor's,268,Computer Science,3,64.9,73.1,52.7,48.2,Yes,Tier 3,16300,Yes,UAE Resident,Basic,No,5,LinkedIn,Not Referred,1.7,3.3,Hired
TLB0409,30,Male,Pakistani,Master's,377,Finance,3,55.3,63.9,65.6,75.5,Yes,Tier 1,10300,No,Work Visa,Fluent,No,1,Referral,Referred,4.1,3.0,Hired
TLB0410,29,Female,Indian,Bachelor's,149,Finance,10,69.7,71.8,67.6,58.0,No,Tier 3,11900,No,Work Visa,Fluent,Yes,4,LinkedIn,Not Referred,4.1,2.4,Hired
TLB0411,27,Female,Egyptian,High School,174,Business,3,51.7,79.3,55.0,60.5,Yes,None,19500,Yes,Work Visa,Basic,Yes,5,Walk-in,Not Referred,3.4,2.4,Hired
TLB0412,29,Female,Indian,Master's,287,Business,10,65.5,52.2,74.3,61.5,No,Tier 3,5300,Yes,Visit Visa,Intermediate,Yes,1,Job Portal,Not Referred,3.6,4.0,Hired
TLB0413,38,Male,Pakistani,Bachelor's,209,Business,5,62.7,59.7,65.0,75.3,No,None,14900,Yes,Citizen,Intermediate,No,6,Job Portal,Not Referred,3.6,2.5,Rejected
TLB0414,26,Female,Emirati,PhD,419,Other,4,100.0,78.1,69.0,80.1,No,Tier 1,14400,No,Citizen,Fluent,Yes,2,Job Portal,Not Referred,2.6,4.7,Rejected
TLB0415,43,Male,Indian,Bachelor's,434,Logistics,0,46.6,61.4,82.9,62.8,Yes,Tier 1,10700,Yes,Work Visa,Intermediate,No,7,LinkedIn,Not Referred,3.2,3.9,Rejected
TLB0416,26,Male,Indian,Bachelor's,352,Marketing,12,25.0,67.0,61.4,62.0,Yes,Tier 3,11900,No,Citizen,Intermediate,No,0,LinkedIn,Not Referred,3.8,3.4,Hired
TLB0417,31,Male,Filipino,Bachelor's,397,Engineering,4,55.4,62.4,78.1,36.3,Yes,Tier 2,13900,No,Citizen,Intermediate,Yes,1,Referral,Referred,1.9,5.0,Rejected
TLB0418,33,Female,British,Bachelor's,323,Hospitality,0,39.3,63.1,85.8,55.1,Yes,Startup,10700,Yes,UAE Resident,Intermediate,Yes,5,Job Portal,Not Referred,3.5,4.1,Hired
TLB0419,28,Male,Emirati,Master's,1,Marketing,8,54.1,62.1,85.0,51.7,No,Startup,9100,Yes,Work Visa,Fluent,No,1,Referral,Referred,3.3,2.8,Hired
TLB0420,38,Female,American,Master's,124,Other,4,45.5,52.9,64.6,69.4,Yes,Tier 1,8800,Yes,UAE Resident,Basic,Yes,7,LinkedIn,Not Referred,3.6,2.3,Rejected
TLB0421,33,Female,American,Bachelor's,441,Computer Science,1,51.4,73.5,54.4,63.5,No,None,20400,Yes,UAE Resident,Basic,No,7,Company Website,Not Referred,2.3,2.8,Rejected
TLB0422,28,Male,Indian,Bachelor's,132,Computer Science,8,49.0,80.7,57.8,52.3,Yes,Tier 1,10000,No,UAE Resident,Intermediate,No,0,LinkedIn,Not Referred,2.7,3.0,Hired
TLB0423,38,Male,Egyptian,Master's,471,Marketing,0,79.4,65.9,46.4,67.1,No,Startup,12900,Yes,UAE Resident,Fluent,No,6,Company Website,Not Referred,2.2,2.5,Hired
TLB0424,23,Male,Pakistani,Master's,482,Business,2,64.3,79.4,75.9,64.1,Yes,Tier 2,15500,No,UAE Resident,Intermediate,Yes,3,LinkedIn,Not Referred,2.2,2.2,Hired
TLB0425,26,Female,Indian,Bachelor's,246,Marketing,3,81.1,62.1,76.7,29.4,No,Startup,11000,Yes,UAE Resident,Fluent,No,6,Company Website,Not Referred,3.8,3.3,Hired
TLB0426,33,Female,Pakistani,High School,181,Hospitality,7,65.6,61.4,68.5,80.5,No,Tier 1,12200,Yes,UAE Resident,Intermediate,No,5,Referral,Referred,2.8,3.8,Rejected
TLB0427,34,Male,Emirati,Bachelor's,301,Computer Science,12,78.9,72.9,49.1,79.2,Yes,None,14300,Yes,Work Visa,Native,Yes,2,Job Portal,Not Referred,2.7,4.6,Hired
TLB0428,31,Female,American,Bachelor's,291,Engineering,4,60.5,73.1,62.3,61.7,No,None,8200,No,Citizen,Intermediate,Yes,0,Job Portal,Not Referred,4.0,3.2,Hired
TLB0429,29,Male,Other,Bachelor's,425,Finance,6,88.9,66.6,84.9,69.9,Yes,Tier 3,5100,No,Citizen,Basic,No,2,LinkedIn,Not Referred,3.0,3.6,Hired
TLB0430,28,Female,British,Bachelor's,1,Logistics,14,72.1,76.1,74.9,60.4,Yes,Tier 3,8700,Yes,UAE Resident,Native,No,3,Job Portal,Not Referred,3.9,1.6,Hired
TLB0431,36,Female,Filipino,Bachelor's,153,Engineering,5,53.3,52.6,77.2,42.5,No,Tier 3,19800,No,UAE Resident,Intermediate,No,4,Job Portal,Not Referred,2.5,3.8,Hired
TLB0432,31,Female,Filipino,Bachelor's,97,Business,6,74.3,64.4,100.0,95.3,Yes,Tier 3,9400,Yes,Citizen,Intermediate,Yes,6,Company Website,Not Referred,3.0,2.3,Hired
TLB0433,24,Female,Other,Bachelor's,1,Marketing,0,65.4,79.6,71.3,75.5,Yes,Tier 3,12600,Yes,UAE Resident,Native,No,6,Walk-in,Not Referred,2.6,3.3,Hired
TLB0434,24,Female,Indian,Master's,201,Engineering,11,62.0,79.5,38.9,78.2,Yes,Tier 3,6000,Yes,Citizen,Fluent,Yes,2,Job Portal,Not Referred,3.6,3.1,Hired
TLB0435,39,Male,Emirati,Bachelor's,1,Hospitality,2,66.4,78.0,52.7,61.0,No,None,18000,Yes,Work Visa,Fluent,Yes,1,LinkedIn,Not Referred,3.1,2.9,Hired
TLB0436,25,Male,Filipino,Bachelor's,222,Marketing,5,76.3,80.2,71.0,80.8,No,Tier 3,10600,No,Work Visa,Intermediate,No,5,Referral,Referred,3.7,1.9,Hired
TLB0437,31,Male,Indian,Bachelor's,202,Business,5,33.2,63.5,67.2,45.8,Yes,Tier 2,10000,Yes,UAE Resident,Fluent,No,5,Referral,Referred,3.3,2.5,Hired
TLB0438,38,Male,Indian,Bachelor's,390,Hospitality,5,59.7,47.5,64.8,61.6,Yes,None,11400,No,UAE Resident,Native,Yes,4,Company Website,Not Referred,1.8,2.3,Hired
TLB0439,33,Female,Emirati,Master's,249,Marketing,3,75.2,64.9,65.0,75.4,Yes,Tier 2,23300,No,Work Visa,Fluent,No,4,Walk-in,Not Referred,3.0,2.6,Rejected
TLB0440,25,Female,Filipino,Bachelor's,1,Computer Science,5,68.7,75.6,56.8,56.2,No,Tier 2,14000,Yes,UAE Resident,Fluent,Yes,5,Company Website,Not Referred,2.1,4.0,Rejected
TLB0441,23,Female,Indian,Bachelor's,369,Marketing,11,48.1,77.6,71.9,77.7,Yes,None,11300,No,Visit Visa,Native,Yes,3,Referral,Referred,3.4,2.8,Hired
TLB0442,41,Male,Indian,Master's,783,Other,12,29.5,61.7,85.1,69.3,Yes,Tier 2,3000,No,Work Visa,Intermediate,Yes,1,Walk-in,Not Referred,3.6,2.6,Hired
TLB0443,23,Female,Emirati,Master's,515,Finance,4,90.5,56.4,89.5,67.9,No,Tier 1,18100,Yes,UAE Resident,Native,No,6,Job Portal,Not Referred,3.7,3.6,Hired
TLB0444,26,Male,Indian,Master's,435,Business,3,62.2,57.6,89.2,54.9,Yes,Tier 3,8900,Yes,UAE Resident,Intermediate,No,1,LinkedIn,Not Referred,3.1,3.4,Hired
TLB0445,32,Male,American,Bachelor's,260,Finance,2,87.7,61.5,54.6,70.7,Yes,None,8200,Yes,UAE Resident,Intermediate,No,0,Walk-in,Not Referred,2.1,4.7,Hired
TLB0446,28,Female,Indian,Bachelor's,201,Business,14,76.9,45.2,66.7,92.1,No,Tier 1,8600,Yes,UAE Resident,Intermediate,Yes,0,Referral,Referred,3.3,3.9,Hired
TLB0447,33,Female,Egyptian,Master's,187,Marketing,5,53.1,61.7,62.9,67.5,No,Tier 3,18600,No,Work Visa,Fluent,No,3,Company Website,Not Referred,3.5,1.5,Rejected
TLB0448,21,Female,Egyptian,Bachelor's,348,Marketing,8,27.5,68.6,74.7,72.8,Yes,Tier 1,11800,Yes,Work Visa,Intermediate,No,3,Referral,Referred,3.1,3.7,Rejected
TLB0449,28,Male,Indian,Master's,72,Business,7,58.1,66.8,65.9,74.8,No,Tier 3,5200,Yes,Visit Visa,Intermediate,No,4,Walk-in,Not Referred,3.3,3.6,Hired
TLB0450,34,Female,British,Master's,344,Business,12,64.4,64.0,64.1,49.0,No,Tier 2,11100,Yes,UAE Resident,Fluent,No,1,LinkedIn,Not Referred,1.9,4.4,Rejected
TLB0451,34,Male,Egyptian,Bachelor's,167,Other,4,71.8,59.7,85.9,63.1,No,Tier 1,8300,Yes,UAE Resident,Native,No,3,Referral,Referred,3.2,2.9,Hired
TLB0452,26,Female,Filipino,Bachelor's,1,Business,1,48.3,61.1,68.3,62.7,No,None,13600,No,Visit Visa,Native,No,5,Company Website,Not Referred,3.1,4.0,Hired
TLB0453,23,Female,Emirati,Bachelor's,164,Logistics,11,67.7,61.3,68.6,35.3,Yes,Tier 3,10300,No,Work Visa,Intermediate,Yes,2,Job Portal,Not Referred,2.4,2.8,Hired
TLB0454,31,Male,Emirati,Bachelor's,550,Finance,8,67.7,76.5,72.4,76.0,No,None,4900,No,Work Visa,Fluent,No,4,LinkedIn,Not Referred,3.6,3.3,Hired
TLB0455,22,Male,Other,Master's,327,Marketing,6,79.8,68.0,75.8,52.0,Yes,None,11600,Yes,Work Visa,Basic,No,2,LinkedIn,Not Referred,2.9,2.3,Hired
TLB0456,37,Male,British,Master's,1,Computer Science,10,60.4,100.0,75.9,74.5,Yes,None,11700,No,Citizen,Intermediate,Yes,6,Walk-in,Not Referred,3.4,2.0,Hired
TLB0457,30,Female,Other,Bachelor's,165,Business,6,71.6,64.0,87.2,54.4,Yes,Startup,6400,No,UAE Resident,Intermediate,Yes,3,Job Portal,Not Referred,3.5,3.8,Hired
TLB0458,25,Male,Other,Master's,480,Computer Science,10,69.3,73.3,50.3,93.6,No,Tier 2,3200,No,UAE Resident,Basic,No,6,Referral,Referred,3.4,3.1,Rejected
TLB0459,23,Female,Emirati,Bachelor's,240,Marketing,5,78.1,64.3,71.2,61.1,No,None,13300,No,Visit Visa,Intermediate,No,2,Referral,Referred,2.3,2.1,Hired
TLB0460,26,Female,British,Master's,404,Other,8,52.7,64.0,65.7,91.9,No,Tier 3,10700,No,UAE Resident,Native,Yes,2,Referral,Referred,2.9,3.8,Hired
TLB0461,20,Male,Pakistani,Bachelor's,220,Logistics,6,20.0,86.7,63.1,62.6,No,Tier 2,11000,No,Visit Visa,Native,Yes,6,Company Website,Not Referred,4.7,1.0,Rejected
TLB0462,32,Male,British,Master's,336,Computer Science,3,61.4,80.0,76.9,64.3,Yes,Tier 2,15400,Yes,UAE Resident,Intermediate,Yes,2,Company Website,Not Referred,4.2,2.5,Hired
TLB0463,25,Female,Emirati,Master's,307,Business,4,61.5,46.9,83.9,86.9,Yes,Tier 2,3300,Yes,UAE Resident,Fluent,No,5,Job Portal,Not Referred,3.8,1.8,Rejected
TLB0464,32,Male,Indian,Bachelor's,170,Computer Science,3,47.6,55.7,59.3,52.2,Yes,Tier 3,12300,No,UAE Resident,Basic,Yes,0,LinkedIn,Not Referred,3.4,4.1,Rejected
TLB0465,33,Male,Egyptian,Bachelor's,414,Other,5,42.4,66.4,88.9,65.7,Yes,Startup,15000,Yes,Visit Visa,Native,No,6,Job Portal,Not Referred,2.5,2.8,Rejected
TLB0466,35,Female,British,Master's,606,Business,3,56.4,61.8,48.4,72.6,No,Tier 3,11200,No,Visit Visa,Fluent,No,6,LinkedIn,Not Referred,3.1,3.2,Hired
TLB0467,31,Female,Filipino,Bachelor's,376,Business,6,63.3,49.9,74.7,70.7,Yes,Tier 2,5600,No,UAE Resident,Intermediate,Yes,4,Job Portal,Not Referred,2.9,3.3,Rejected
TLB0468,36,Female,Indian,Master's,320,Finance,6,66.4,69.4,55.4,65.6,No,Tier 1,9000,No,UAE Resident,Intermediate,No,3,LinkedIn,Not Referred,3.1,3.7,Hired
TLB0469,38,Male,Indian,PhD,131,Marketing,5,30.7,45.5,58.7,63.7,Yes,None,10000,Yes,UAE Resident,Intermediate,Yes,2,LinkedIn,Not Referred,2.2,3.7,Hired
TLB0470,31,Male,Other,Master's,487,Business,5,38.7,69.5,67.8,76.9,Yes,Tier 3,4900,No,UAE Resident,Native,No,2,LinkedIn,Not Referred,3.9,3.7,Rejected
TLB0471,31,Male,Pakistani,Bachelor's,197,Finance,3,81.9,76.8,61.8,67.5,Yes,Tier 3,13700,Yes,Work Visa,Fluent,No,2,LinkedIn,Not Referred,1.3,2.9,Rejected
TLB0472,26,Male,Pakistani,Bachelor's,412,Computer Science,4,62.2,78.5,29.8,78.5,No,Startup,12000,No,UAE Resident,Intermediate,No,5,Referral,Referred,3.8,3.8,Rejected
TLB0473,24,Male,Filipino,PhD,452,Computer Science,0,65.0,66.3,74.9,70.5,Yes,None,9100,Yes,UAE Resident,Basic,Yes,1,Company Website,Not Referred,3.8,2.6,Rejected
TLB0474,37,Male,Pakistani,Bachelor's,497,Computer Science,4,45.0,86.1,77.1,74.1,Yes,Tier 3,16400,No,UAE Resident,Fluent,No,2,Job Portal,Not Referred,4.8,2.8,Rejected
TLB0475,33,Male,Filipino,Bachelor's,501,Engineering,1,64.9,72.0,64.9,80.9,Yes,Tier 3,9700,No,Work Visa,Intermediate,No,3,Company Website,Not Referred,3.0,1.9,Hired
TLB0476,34,Male,Pakistani,High School,493,Other,5,59.4,78.1,63.9,60.7,Yes,Tier 2,18700,No,Work Visa,Native,Yes,3,Company Website,Not Referred,2.8,4.4,Hired
TLB0477,26,Male,British,Master's,48,Marketing,2,55.7,59.2,62.2,80.5,No,None,10800,Yes,Work Visa,Intermediate,No,2,Referral,Referred,3.3,2.3,Rejected
TLB0478,39,Female,Other,Bachelor's,128,Hospitality,0,43.1,86.3,44.8,62.8,No,Tier 3,7700,No,Work Visa,Native,Yes,3,Job Portal,Not Referred,3.6,4.2,Hired
TLB0479,28,Female,Other,Bachelor's,25,Business,12,52.0,68.0,43.4,45.4,Yes,Startup,7800,Yes,Citizen,Basic,No,6,LinkedIn,Not Referred,3.1,3.5,Hired
TLB0480,25,Male,Filipino,Bachelor's,12,Finance,4,94.6,86.9,77.4,60.4,Yes,Tier 1,12400,Yes,UAE Resident,Native,No,2,Referral,Referred,2.4,3.3,Hired
TLB0481,26,Male,Pakistani,Master's,605,Other,10,59.8,84.3,80.8,54.9,No,Tier 3,7200,Yes,Citizen,Intermediate,No,1,LinkedIn,Not Referred,3.6,3.4,Hired
TLB0482,39,Male,Egyptian,Bachelor's,102,Business,3,76.8,71.1,74.8,70.3,Yes,Tier 2,12600,No,Work Visa,Intermediate,Yes,6,LinkedIn,Not Referred,3.2,2.2,Rejected
TLB0483,23,Female,American,Master's,74,Other,10,62.1,72.9,71.9,61.0,Yes,Tier 3,10200,No,UAE Resident,Fluent,Yes,2,Company Website,Not Referred,2.5,4.4,Hired
TLB0484,25,Male,Filipino,Master's,288,Finance,0,60.3,65.8,77.2,66.8,Yes,Startup,10100,No,Visit Visa,Fluent,No,5,LinkedIn,Not Referred,2.1,2.8,Rejected
TLB0485,47,Male,Egyptian,PhD,150,Hospitality,5,55.5,58.2,76.3,79.2,No,Startup,11800,Yes,Work Visa,Intermediate,No,7,LinkedIn,Not Referred,4.9,3.9,Hired
TLB0486,35,Male,Egyptian,Master's,752,Business,1,85.2,75.1,56.8,85.8,No,Tier 2,16500,Yes,Work Visa,Intermediate,No,4,Job Portal,Not Referred,3.8,2.7,Rejected
TLB0487,25,Male,Egyptian,Bachelor's,245,Finance,14,70.6,74.5,69.9,69.1,Yes,None,9600,Yes,UAE Resident,Intermediate,Yes,4,LinkedIn,Not Referred,3.6,2.0,Rejected
TLB0488,23,Male,Egyptian,Master's,389,Marketing,4,53.2,48.6,63.2,80.2,Yes,Tier 2,12800,Yes,UAE Resident,Intermediate,No,5,Company Website,Not Referred,3.1,4.7,Rejected
TLB0489,20,Male,Indian,High School,143,Other,7,59.1,67.0,63.3,62.5,No,Tier 3,14000,No,Citizen,Fluent,Yes,1,Referral,Referred,3.7,2.6,Hired
TLB0490,30,Male,Pakistani,PhD,1,Other,6,81.1,78.4,81.8,43.1,Yes,Tier 2,6600,Yes,UAE Resident,Basic,No,0,Job Portal,Not Referred,2.5,3.5,Hired
TLB0491,34,Female,Filipino,Bachelor's,154,Engineering,4,22.4,85.6,87.5,48.5,Yes,Tier 2,14400,No,UAE Resident,Fluent,Yes,1,Job Portal,Not Referred,3.3,1.0,Hired
TLB0492,39,Female,Emirati,Master's,156,Other,6,69.7,76.7,36.5,62.3,Yes,None,15700,Yes,UAE Resident,Intermediate,No,3,LinkedIn,Not Referred,3.4,3.0,Hired
TLB0493,20,Female,American,Master's,155,Logistics,9,73.1,49.8,63.7,76.1,Yes,Tier 1,16300,Yes,UAE Resident,Basic,No,6,Job Portal,Not Referred,2.5,3.6,Hired
TLB0494,22,Male,Filipino,Bachelor's,1,Marketing,7,53.8,55.3,63.0,62.3,Yes,None,7000,Yes,Visit Visa,Basic,Yes,4,Referral,Referred,3.1,3.2,Hired
TLB0495,29,Female,Indian,Master's,327,Computer Science,5,67.3,63.8,82.1,81.6,Yes,Tier 2,7300,Yes,Work Visa,Fluent,No,6,LinkedIn,Not Referred,2.9,3.0,Rejected
TLB0496,46,Male,British,High School,232,Computer Science,6,72.5,84.8,48.1,90.6,No,Startup,11800,No,Citizen,Fluent,No,3,Company Website,Not Referred,2.7,2.9,Rejected
TLB0497,35,Male,Egyptian,Bachelor's,1,Computer Science,11,46.5,60.7,28.1,52.6,Yes,Tier 1,11500,No,UAE Resident,Intermediate,Yes,6,Job Portal,Not Referred,2.8,3.8,Rejected
TLB0498,32,Female,Egyptian,Bachelor's,321,Computer Science,3,77.6,80.7,77.7,94.7,No,Tier 3,12100,No,UAE Resident,Fluent,Yes,5,Referral,Referred,2.0,2.1,Rejected
TLB0499,22,Male,Indian,Bachelor's,452,Other,0,69.5,60.5,79.5,42.1,No,None,10400,Yes,UAE Resident,Intermediate,Yes,0,Referral,Referred,3.9,2.9,Hired
TLB0500,20,Male,American,Bachelor's,539,Business,1,62.7,74.4,43.8,90.9,No,Tier 3,12800,Yes,UAE Resident,Fluent,Yes,4,LinkedIn,Not Referred,4.3,4.2,Rejected
TLB0501,30,Female,Pakistani,Master's,1,Finance,1,66.6,56.7,65.4,64.5,No,Tier 2,3000,Yes,Work Visa,Fluent,No,5,Company Website,Not Referred,2.6,1.9,Hired
TLB0502,29,Female,Filipino,Bachelor's,153,Finance,1,75.6,65.7,86.9,61.7,No,Startup,15000,No,UAE Resident,Fluent,Yes,3,Walk-in,Not Referred,4.0,3.0,Hired
TLB0503,28,Female,Emirati,Bachelor's,25,Finance,2,99.7,54.4,53.0,64.9,Yes,Startup,18600,No,UAE Resident,Intermediate,No,6,Referral,Referred,3.2,2.2,Rejected
TLB0504,27,Male,Filipino,Master's,169,Business,4,74.1,85.3,68.3,53.8,Yes,Tier 1,9500,No,Citizen,Intermediate,Yes,3,Walk-in,Not Referred,3.2,3.3,Hired
TLB0505,25,Male,Egyptian,Master's,577,Marketing,5,77.2,59.7,73.6,86.0,Yes,Startup,12900,Yes,Work Visa,Fluent,No,5,LinkedIn,Not Referred,2.3,3.1,Rejected
TLB0506,24,Female,Filipino,High School,154,Finance,5,67.9,49.4,48.4,55.3,No,Startup,19600,No,UAE Resident,Native,Yes,5,Job Portal,Not Referred,2.8,2.3,Hired
TLB0507,38,Male,Pakistani,PhD,204,Marketing,2,93.5,48.5,59.7,57.1,Yes,Startup,12200,No,Work Visa,Fluent,No,1,Walk-in,Not Referred,3.6,3.1,Hired
TLB0508,24,Female,British,High School,134,Business,8,43.0,67.0,45.0,45.7,Yes,Tier 2,13400,Yes,Work Visa,Intermediate,No,0,Company Website,Not Referred,2.5,3.2,Hired
TLB0509,28,Male,Egyptian,Bachelor's,625,Finance,6,38.9,62.5,64.9,54.8,Yes,Tier 3,20300,Yes,Citizen,Intermediate,Yes,7,LinkedIn,Not Referred,2.7,2.6,Rejected
TLB0510,29,Male,Indian,Bachelor's,1,Computer Science,10,67.3,75.8,56.7,55.2,Yes,None,21200,Yes,Work Visa,Intermediate,No,6,Referral,Referred,2.8,2.8,Hired
TLB0511,34,Male,Other,Master's,188,Marketing,7,74.9,65.2,69.7,54.3,Yes,Tier 3,7200,Yes,UAE Resident,Basic,Yes,7,LinkedIn,Not Referred,1.0,2.6,Rejected
TLB0512,24,Female,Egyptian,Bachelor's,126,Engineering,3,26.4,82.0,75.3,62.5,No,Tier 3,10100,Yes,UAE Resident,Fluent,No,0,Company Website,Not Referred,3.4,1.3,Hired
TLB0513,35,Male,Other,Bachelor's,1,Business,9,64.9,63.4,85.1,49.4,No,None,16000,No,UAE Resident,Intermediate,Yes,5,Walk-in,Not Referred,3.6,3.8,Rejected
TLB0514,26,Male,Other,Master's,520,Logistics,5,62.3,80.3,97.3,87.3,No,Tier 2,14200,Yes,Work Visa,Fluent,Yes,1,Referral,Referred,3.5,4.1,Hired
TLB0515,29,Male,Other,Bachelor's,1,Computer Science,7,76.2,56.6,69.7,62.9,No,Tier 2,15200,No,Work Visa,Intermediate,No,3,LinkedIn,Not Referred,3.9,1.7,Hired
TLB0516,39,Male,Egyptian,Bachelor's,208,Other,7,71.4,50.0,62.9,70.2,Yes,Startup,3000,Yes,Work Visa,Fluent,Yes,6,LinkedIn,Not Referred,2.9,4.1,Rejected
TLB0517,24,Male,Filipino,Master's,284,Logistics,4,37.9,58.1,62.1,77.1,Yes,Startup,3200,Yes,Work Visa,Intermediate,Yes,2,Company Website,Not Referred,4.5,3.4,Hired
TLB0518,34,Female,Indian,Master's,149,Engineering,5,48.8,54.5,54.5,93.3,Yes,None,20000,No,UAE Resident,Intermediate,Yes,2,Company Website,Not Referred,2.6,2.2,Rejected
TLB0519,36,Male,Pakistani,Bachelor's,1,Business,4,52.9,53.1,72.8,77.7,No,Startup,15500,Yes,UAE Resident,Fluent,No,3,LinkedIn,Not Referred,3.0,2.9,Rejected
TLB0520,31,Female,Egyptian,Bachelor's,266,Computer Science,2,76.1,73.0,60.6,61.5,Yes,Tier 2,13600,Yes,UAE Resident,Intermediate,No,3,Job Portal,Not Referred,3.0,2.5,Hired
TLB0521,29,Female,Pakistani,PhD,147,Other,0,70.6,64.8,73.7,50.0,Yes,Tier 2,6400,No,UAE Resident,Intermediate,Yes,0,LinkedIn,Not Referred,3.3,3.8,Rejected
TLB0522,42,Male,American,Bachelor's,461,Finance,2,55.7,69.7,54.9,69.7,Yes,Tier 1,10100,Yes,Work Visa,Basic,No,2,Company Website,Not Referred,3.0,2.4,Hired
TLB0523,29,Male,Indian,High School,403,Computer Science,5,67.2,74.3,60.9,79.9,Yes,None,14600,Yes,Citizen,Fluent,No,6,Referral,Referred,3.1,4.8,Rejected
TLB0524,31,Female,Indian,Bachelor's,688,Marketing,8,49.1,47.8,72.6,67.0,Yes,Tier 1,5800,Yes,UAE Resident,Basic,No,0,LinkedIn,Not Referred,2.7,4.0,Hired
TLB0525,27,Male,Pakistani,Bachelor's,321,Computer Science,7,95.7,74.8,65.4,65.9,No,Tier 3,8800,Yes,Work Visa,Intermediate,No,2,Company Website,Not Referred,2.9,2.1,Hired
TLB0526,30,Male,Pakistani,PhD,417,Marketing,4,73.6,53.5,42.0,68.0,Yes,Tier 3,13700,No,UAE Resident,Intermediate,Yes,4,Company Website,Not Referred,1.6,4.4,Rejected
TLB0527,35,Female,Indian,Bachelor's,228,Engineering,2,76.8,61.1,66.8,38.8,No,Tier 1,14700,Yes,Work Visa,Fluent,Yes,3,Referral,Referred,3.8,3.7,Rejected
TLB0528,28,Female,Indian,High School,642,Computer Science,4,85.7,45.3,56.6,67.1,No,Tier 2,9600,Yes,UAE Resident,Intermediate,No,5,Job Portal,Not Referred,2.5,3.0,Rejected
TLB0529,20,Female,American,Bachelor's,302,Logistics,1,80.2,75.9,82.4,75.3,No,Tier 3,16400,No,Work Visa,Intermediate,No,2,Company Website,Not Referred,2.9,3.6,Hired
TLB0530,33,Male,Pakistani,Bachelor's,279,Business,0,65.5,47.7,79.6,64.4,Yes,Tier 1,16300,No,UAE Resident,Intermediate,No,1,LinkedIn,Not Referred,2.5,3.8,Hired
TLB0531,23,Female,Emirati,Bachelor's,408,Marketing,0,62.2,53.6,37.3,80.7,Yes,None,3900,Yes,UAE Resident,Basic,No,7,Walk-in,Not Referred,3.6,2.5,Hired
TLB0532,34,Female,Emirati,PhD,171,Finance,9,84.3,54.5,77.4,81.2,Yes,None,19400,No,Work Visa,Fluent,No,6,Walk-in,Not Referred,2.8,3.8,Hired
TLB0533,29,Male,Pakistani,Master's,200,Other,11,65.4,66.5,72.1,57.9,No,Tier 1,17200,Yes,UAE Resident,Intermediate,No,2,LinkedIn,Not Referred,1.5,2.8,Rejected
TLB0534,35,Female,Indian,High School,407,Engineering,7,53.8,66.1,47.7,71.2,Yes,None,12900,Yes,UAE Resident,Fluent,No,0,Walk-in,Not Referred,3.4,3.8,Rejected
TLB0535,24,Male,Egyptian,Bachelor's,446,Other,4,94.5,77.7,78.4,65.6,Yes,Tier 2,11400,No,UAE Resident,Fluent,Yes,3,Job Portal,Not Referred,2.7,3.0,Hired
TLB0536,26,Male,British,Bachelor's,419,Business,0,51.0,66.7,50.4,36.6,Yes,Tier 1,15600,Yes,Citizen,Fluent,No,6,LinkedIn,Not Referred,3.2,2.3,Rejected
TLB0537,27,Male,Indian,Bachelor's,283,Logistics,4,39.0,79.6,81.9,62.4,Yes,Tier 2,14400,Yes,UAE Resident,Fluent,Yes,4,Company Website,Not Referred,3.8,3.6,Rejected
TLB0538,21,Male,Filipino,Bachelor's,354,Business,7,79.9,72.6,58.6,50.6,Yes,None,10800,Yes,Work Visa,Fluent,No,5,LinkedIn,Not Referred,2.5,2.8,Hired
TLB0539,36,Male,Indian,Bachelor's,492,Finance,7,54.0,56.7,47.3,66.9,Yes,Startup,19200,Yes,Citizen,Native,No,4,Company Website,Not Referred,3.2,3.2,Hired
TLB0540,20,Female,Indian,Master's,81,Computer Science,7,71.5,60.0,94.6,74.6,Yes,Tier 2,3000,No,Work Visa,Native,No,7,Walk-in,Not Referred,2.7,3.4,Hired
TLB0541,36,Female,Other,Master's,300,Other,9,92.3,86.1,46.9,62.0,No,Startup,9000,No,UAE Resident,Intermediate,No,0,Referral,Referred,3.9,4.3,Hired
TLB0542,32,Male,Pakistani,Bachelor's,1,Other,11,44.4,82.7,56.5,52.4,No,Startup,14000,Yes,Work Visa,Fluent,Yes,6,Company Website,Not Referred,3.3,2.8,Hired
